S21 dB20 (K_in=0.325) X,S21 dB20 (K_in=0.325) Y
6100000000,28.94244284188389
6110000000,28.92174376615658
6120000000,28.89922625072871
6130000000,28.87497981335006
6140000000,28.84909304353802
6150000000,28.82165343914131
6160000000,28.79274725909855
6170000000,28.76245939077506
6180000000,28.73087323171812
6190000000,28.69807058516363
6200000000,28.66413156929229
6210000000,28.62913454075822
6220000000,28.59315602802048
6230000000,28.55627067835492
6240000000,28.51855121463096
6250000000,28.48006840214853
6260000000,28.44089102537064
6270000000,28.40108587306329
6280000000,28.36071773147343
6290000000,28.31984938440439
6300000000,28.2785416201612
6310000000,28.23685324414092
6320000000,28.19484109799297
6330000000,28.15256008052208
6340000000,28.11006317645611
6350000000,28.06740148605218
6360000000,28.02462425913744
6370000000,27.98177893192992
6380000000,27.93891116510048
6390000000,27.89606488524539
6400000000,27.85328232629066
6410000000,27.81060407368731
6420000000,27.76806910843579
6430000000,27.72571485178901
6440000000,27.68357721149833
6450000000,27.6416906268478
6460000000,27.6000881145883
6470000000,27.55880131426364
6480000000,27.51786053347955
6490000000,27.47729479275093
6500000000,27.4371318697073
6510000000,27.39739834222761
6520000000,27.35811963138825
6530000000,27.31932004374433
6540000000,27.28102281197996
6550000000,27.24325013493636
6560000000,27.20602321686755
6570000000,27.16936230561531
6580000000,27.13328672938117
6590000000,27.09781493293365
6600000000,27.06296451231185
6610000000,27.02875224901027
6620000000,26.99519414208751
6630000000,26.96230544048875
6640000000,26.93010067316212
6650000000,26.89859367864413
6660000000,26.86779763373227
6670000000,26.83772508054226
6680000000,26.80838795340056
6690000000,26.77979760354608
6700000000,26.75196482409651
6710000000,26.72489987304631
6720000000,26.69861249610259
6730000000,26.67311194766657
6740000000,26.64840701237953
6750000000,26.62450602363798
6760000000,26.60141688366181
6770000000,26.57914708062343
6780000000,26.55770370638074
6790000000,26.53709347265007
6800000000,26.51732272660176
6810000000,26.49839746596793
6820000000,26.48032335295571
6830000000,26.463105727652
6840000000,26.44674962064191
6850000000,26.43125976534619
6860000000,26.41664060896685
6870000000,26.40289632325852
6880000000,26.39003081480347
6890000000,26.37804773394487
6900000000,26.36695048392547
6910000000,26.35674222904289
6920000000,26.34742590191837
6930000000,26.33900421072201
6940000000,26.33147964551106
6950000000,26.32485448403383
6960000000,26.31913079691044
6970000000,26.31431045256254
6980000000,26.31039512077417
6990000000,26.30738627691885
7000000000,26.30528520437293
7010000000,26.30409299725413
7020000000,26.30381056199139
7030000000,26.30443861900809
7040000000,26.305977702853
7050000000,26.308428162559
7060000000,26.31179016130003
7070000000,26.31606367464175
7080000000,26.32124848964377
7090000000,26.32734420153694
7100000000,26.33435021111081
7110000000,26.34226572093069
7120000000,26.35108973061419
7130000000,26.36082103176226
7140000000,26.37145820181172
7150000000,26.38299959733306
7160000000,26.39544334631749
7170000000,26.40878733964951
7180000000,26.42302922148291
7190000000,26.43816637921924
7200000000,26.45419593170099
7210000000,26.47111471686085
7220000000,26.48891927814872
7230000000,26.5076058497543
7240000000,26.5271703403544
7250000000,26.54760831599376
7260000000,26.56891498116941
7270000000,26.59108515874527
7280000000,26.61411326800339
7290000000,26.63799330132616
7300000000,26.66271879899075
7310000000,26.68828282204736
7320000000,26.71467792335619
7330000000,26.74189611671786
7340000000,26.76992884327328
7350000000,26.79876693624738
7360000000,26.82840058268801
7370000000,26.85881928291423
7380000000,26.89001180724769
7390000000,26.92196614959428
7400000000,26.95466947822658
7410000000,26.98810808316561
7420000000,27.02226732045595
7430000000,27.05713155255645
7440000000,27.0926840851204
7450000000,27.12890710012326
7460000000,27.16578158452341
7470000000,27.20328725493481
7480000000,27.24140247786521
7490000000,27.28010418513226
7500000000,27.31936778498151
7510000000,27.35916706795363
7520000000,27.39947410783017
7530000000,27.44025915778891
7540000000,27.48149054095031
7550000000,27.52313453598781
7560000000,27.56515525749806
7570000000,27.60751453126134
7580000000,27.65017176450678
7590000000,27.69308381094802
7600000000,27.73620483193188
7610000000,27.77948615268846
7620000000,27.8228761151564
7630000000,27.86631992758915
7640000000,27.9097595115331
7650000000,27.95313334730952
7660000000,27.99637631893625
7670000000,28.03941955960859
7680000000,28.08219029934818
7690000000,28.12461171638456
7700000000,28.16660279407208
7710000000,28.2080781858422
7720000000,28.24894809013526
7730000000,28.28911813834662
7740000000,28.32848929885015
7750000000,28.36695780009347
7760000000,28.40441507642419
7770000000,28.44074774078742
7780000000,28.47583758803953
7790000000,28.50956163315404
7800000000,28.54179218906749
7810000000,28.57239698854026
7820000000,28.60123935447944
7830000000,28.62817842342232
7840000000,28.65306942640441
7850000000,28.67576403096636
7860000000,28.6961107481398
7870000000,28.71395540675547
7880000000,28.72914169755918
7890000000,28.74151178772527
7900000000,28.75090700595287
7910000000,28.75716859604757
7920000000,28.76013853660929
7930000000,28.7596604215281
7940000000,28.75558039514244
7950000000,28.74774813333989
7960000000,28.73601786115206
7970000000,28.72024939421913
7980000000,28.70030919120324
7990000000,28.67607140197397
8000000000,28.64741889559036
8010000000,28.61424425141518
8020000000,28.57645069602668
8030000000,28.53395296908058
8040000000,28.48667810164459
8050000000,28.43456609162083
8060000000,28.37757046285997
8070000000,28.31565869610515
8080000000,28.24881252281384
8090000000,28.17702807577337
8100000000,28.10031589297383
8110000000,28.01870077497032
8120000000,27.93222149895236
8130000000,27.84093039531497
8140000000,27.74489279621992
8150000000,27.6441863674448
8160000000,27.53890033706289
8170000000,27.42913463650595
8180000000,27.31499896998613
8190000000,27.19661182964967
8200000000,27.07409947344292
8210000000,26.9475948822684
8220000000,26.81723671289538
8230000000,26.6831682610805
8240000000,26.54553644846642
8250000000,26.40449084564713
8260000000,26.26018274045957
8270000000,26.11276426111174
8280000000,25.96238755949017
8290000000,25.80920406033446
8300000000,25.65336377842777
8310000000,25.49501470643213
8320000000,25.33430227253401
8330000000,25.17136886767157
8340000000,25.00635343989787
8350000000,24.83939115343209
8360000000,24.67061310853077
8370000000,24.50014611867758
8380000000,24.32811254034855
8390000000,24.15463015139803
8400000000,23.97981207310771
8410000000,23.80376673147108
8420000000,23.62659785328319
8430000000,23.4484044929092
8440000000,23.26928108528907
8450000000,23.08931752165325
8460000000,22.9085992443236
8470000000,22.72720735718478
8480000000,22.54521874903343
8490000000,22.36270622689963
8500000000,22.17973865719015
8510000000,21.99638111209038
8520000000,21.81269501984841
8530000000,21.62873831691803
8540000000,21.44456560060128
8550000000,21.26022828118082
8560000000,21.07577473220744
8570000000,20.89125043830614
8580000000,20.70669813980282
8590000000,20.52215797338821
8600000000,20.3376676086609
8610000000,20.15326237991266
8620000000,19.96897541316806
8630000000,19.78483774816544
8640000000,19.60087845522317
8650000000,19.4171247467773
8660000000,19.23360208401061
8670000000,19.05033427815696
8680000000,18.8673435868012
8690000000,18.68465080533429
8700000000,18.50227535340007
8710000000,18.32023535699261
8720000000,18.13854772564547
8730000000,17.95722822574065
8740000000,17.77629154928268
8750000000,17.59575137890409
8760000000,17.4156204490449
8770000000,17.23591060344434
8780000000,17.05663284928435
8790000000,16.87779740799881
8800000000,16.69941376311051
8810000000,16.5214907049976
8820000000,16.34403637297629
8830000000,16.16705829483109
8840000000,15.99056342382696
8850000000,15.81455817342525
8860000000,15.63904844978932
8870000000,15.46403968235585
8880000000,15.28953685241719
8890000000,15.11554451991562
8900000000,14.94206684853149
8910000000,14.76910762923772
8920000000,14.59667030232786
8930000000,14.42475797813635
8940000000,14.25337345636936
8950000000,14.08251924423492
8960000000,13.91219757354944
8970000000,13.74241041660249
8980000000,13.57315950122264
8990000000,13.40444632472906
9000000000,13.23627216720994
9010000000,13.0686381037696
9020000000,12.90154501627042
9030000000,12.73499360412843
9040000000,12.56898439465684
9050000000,12.40351775260469
9060000000,12.23859388928477
9070000000,12.07421287102253
9080000000,11.91037462726928
9090000000,11.74707895804071
9100000000,11.58432554108406
9110000000,11.42211393857202
9120000000,11.26044360332647
9130000000,11.09931388493338
9140000000,10.93872403524036
9150000000,10.77867321368838
9160000000,10.61916049227987
9170000000,10.46018486043474
9180000000,10.30174522931926
9190000000,10.1438404361801
9200000000,9.986469248309451
9210000000,9.829630366847496
9220000000,9.673322430410385
9230000000,9.517544018453757
9240000000,9.362293654515671
9250000000,9.207569809334617
9260000000,9.053370903688577
9270000000,8.899695311269122
9280000000,8.746541361174103
9290000000,8.59390734053852
9300000000,8.441791496842066
9310000000,8.290192040227202
9320000000,8.139107145594329
9330000000,7.988534954759416
9340000000,7.838473578269429
9350000000,7.688921097437983
9360000000,7.539875565970932
9370000000,7.391335011829763
9380000000,7.243297438723241
9390000000,7.095760827730675
9400000000,6.948723138773523
9410000000,6.802182312012565
9420000000,6.656136269246228
9430000000,6.510582915146585
9440000000,6.365520138591468
9450000000,6.220945813756227
9460000000,6.076857801320772
9470000000,5.933253949531718
9480000000,5.790132095216406
9490000000,5.647490064845315
