S11 dB20 (Ccomp=3e-14) X,S11 dB20 (Ccomp=3e-14) Y
3410000000,-2.655646345189901
3420000000,-2.66349000288965
3430000000,-2.671399034243878
3440000000,-2.679374143441062
3450000000,-2.687416044762145
3460000000,-2.695525462749595
3470000000,-2.703703132379618
3480000000,-2.711949799237533
3490000000,-2.720266219696494
3500000000,-2.728653161099685
3510000000,-2.737111401945703
3520000000,-2.745641732077671
3530000000,-2.754244952875789
3540000000,-2.762921877453613
3550000000,-2.771673330857995
3560000000,-2.780500150272804
3570000000,-2.789403185226576
3580000000,-2.798383297804029
3590000000,-2.807441362861669
3600000000,-2.816578268247472
3610000000,-2.825794915024748
3620000000,-2.83509221770025
3630000000,-2.844471104456699
3640000000,-2.853932517389656
3650000000,-2.863477412749092
3660000000,-2.873106761185342
3670000000,-2.88282154799999
3680000000,-2.892622773401386
3690000000,-2.902511452765275
3700000000,-2.91248861690015
3710000000,-2.922555312317996
3720000000,-2.932712601509964
3730000000,-2.942961563227585
3740000000,-2.953303292769198
3750000000,-2.963738902272138
3760000000,-2.974269521010221
3770000000,-2.984896295697224
3780000000,-2.995620390796177
3790000000,-3.006442988834519
3800000000,-3.017365290725466
3810000000,-3.028388516095444
3820000000,-3.03951390361804
3830000000,-3.050742711354158
3840000000,-3.062076217099017
3850000000,-3.073515718735615
3860000000,-3.085062534595193
3870000000,-3.096718003824711
3880000000,-3.108483486761027
3890000000,-3.120360365313053
3900000000,-3.13235004335056
3910000000,-3.144453947100883
3920000000,-3.156673525553291
3930000000,-3.169010250871243
3940000000,-3.181465618812149
3950000000,-3.194041149155891
3960000000,-3.206738386141233
3970000000,-3.21955889891078
3980000000,-3.23250428196446
3990000000,-3.245576155621765
4000000000,-3.258776166493165
4010000000,-3.272105987960141
4020000000,-3.28556732066497
4030000000,-3.299161893009453
4040000000,-3.312891461663725
4050000000,-3.326757812084529
4060000000,-3.340762759043472
4070000000,-3.354908147165557
4080000000,-3.369195851478014
4090000000,-3.383627777969491
4100000000,-3.398205864160081
4110000000,-3.412932079682342
4120000000,-3.427808426873101
4130000000,-3.44283694137678
4140000000,-3.458019692760163
4150000000,-3.473358785138798
4160000000,-3.488856357815203
4170000000,-3.504514585929443
4180000000,-3.520335681121497
4190000000,-3.536321892206745
4200000000,-3.552475505863613
4210000000,-3.568798847334448
4220000000,-3.585294281139392
4230000000,-3.60196421180384
4240000000,-3.618811084598894
4250000000,-3.635837386296151
4260000000,-3.653045645936323
4270000000,-3.670438435611994
4280000000,-3.688018371264872
4290000000,-3.705788113497491
4300000000,-3.723750368399986
4310000000,-3.741907888392173
4320000000,-3.760263473080279
4330000000,-3.778819970129754
4340000000,-3.79758027615356
4350000000,-3.816547337616651
4360000000,-3.835724151756434
4370000000,-3.855113767519349
4380000000,-3.874719286514745
4390000000,-3.89454386398488
4400000000,-3.914590709792334
4410000000,-3.934863089424743
4420000000,-3.955364325016045
4430000000,-3.976097796386779
4440000000,-3.997066942100953
4450000000,-4.018275260541478
4460000000,-4.039726311003868
4470000000,-4.061423714807892
4480000000,-4.08337115642789
4490000000,-4.105572384641833
4500000000,-4.128031213699678
4510000000,-4.150751524509659
4520000000,-4.173737265844245
4530000000,-4.196992455565832
4540000000,-4.220521181871003
4550000000,-4.244327604554266
4560000000,-4.268415956292355
4570000000,-4.292790543946654
4580000000,-4.317455749886403
4590000000,-4.342416033331295
4600000000,-4.367675931713901
4610000000,-4.39324006206083
4620000000,-4.4191131223962
4630000000,-4.445299893161637
4640000000,-4.471805238658193
4650000000,-4.498634108506946
4660000000,-4.525791539129063
4670000000,-4.553282655245483
4680000000,-4.581112671395884
4690000000,-4.609286893475439
4700000000,-4.637810720292038
4710000000,-4.666689645140925
4720000000,-4.695929257397807
4730000000,-4.725535244128794
4740000000,-4.755513391719871
4750000000,-4.785869587521784
4760000000,-4.816609821510937
4770000000,-4.847740187967794
4780000000,-4.87926688716976
4790000000,-4.911196227098745
4800000000,-4.943534625163238
4810000000,-4.976288609931866
4820000000,-5.009464822882567
4830000000,-5.043070020158905
4840000000,-5.077111074340542
4850000000,-5.111594976220659
4860000000,-5.146528836592447
4870000000,-5.181919888040429
4880000000,-5.217775486741107
4890000000,-5.254103114262336
4900000000,-5.290910379368908
4910000000,-5.328205019825189
4920000000,-5.36599490419982
4930000000,-5.404288033662281
4940000000,-5.443092543777553
4950000000,-5.48241670628912
4960000000,-5.522268930894376
4970000000,-5.562657767002502
4980000000,-5.603591905478245
4990000000,-5.645080180364477
5000000000,-5.687131570582346
5010000000,-5.729755201601132
5020000000,-5.772960347081327
5030000000,-5.816756430476665
5040000000,-5.861153026601082
5050000000,-5.906159863144884
5060000000,-5.951786822144093
5070000000,-5.998043941389861
5080000000,-6.044941415777259
5090000000,-6.092489598580846
5100000000,-6.140699002656445
5110000000,-6.18958030155441
5120000000,-6.239144330538665
5130000000,-6.289402087507398
5140000000,-6.340364733791565
