freq	dB(S(2,1))
3.74009999999999950E10	-4.61168209753376160E1
3.75009999999999980E10	-4.61898430593132850E1
3.76010000000000000E10	-4.62626516946164120E1
3.77010000000000020E10	-4.63352481735199540E1
3.78010000000000000E10	-4.64076337762504030E1
3.79009999999999980E10	-4.64798097711401680E1
3.80009999999999960E10	-4.65517774147775220E1
3.81009999999999980E10	-4.66235379521541750E1
3.82010000000000010E10	-4.66950926168104720E1
3.83010000000000030E10	-4.67664426309783470E1
3.84009999999999960E10	-4.68375892057219460E1
3.85009999999999990E10	-4.69085335410761320E1
3.86010000000000010E10	-4.69792768261827740E1
3.87009999999999990E10	-4.70498202394248550E1
3.88010000000000010E10	-4.71201649485586050E1
3.89009999999999940E10	-4.71903121108434930E1
3.90009999999999970E10	-4.72602628731702800E1
3.91009999999999990E10	-4.73300183721870220E1
3.92010000000000010E10	-4.73995797344232010E1
3.93010000000000040E10	-4.74689480764119500E1
3.94009999999999970E10	-4.75381245048103370E1
3.95009999999999990E10	-4.76071101165179740E1
3.96009999999999970E10	-4.76759059987936240E1
3.97010000000000000E10	-4.77445132293702470E1
3.98010000000000020E10	-4.78129328765681640E1
3.99009999999999950E10	-4.78811659994066030E1
4.00009999999999980E10	-4.79492136477135220E1
4.01009999999999960E10	-4.80170768622338610E1
4.02010000000000020E10	-4.80847566747361110E1
4.03010000000000000E10	-4.81522541081173470E1
4.04009999999999980E10	-4.82195701765066790E1
4.05009999999999960E10	-4.82867058853672400E1
4.06010000000000030E10	-4.83536622315965750E1
4.07010000000000010E10	-4.84204402036256360E1
4.08009999999999980E10	-4.84870407815163330E1
4.09009999999999960E10	-4.85534649370575980E1
4.10010000000000030E10	-4.86197136338601420E1
4.11010000000000100E10	-4.86857878274497670E1
4.12010000000000080E10	-4.87516884653593860E1
4.13010000000000050E10	-4.88174164872196670E1
4.14010000000000030E10	-4.88829728248484500E1
4.15010000000000010E10	-4.89483584023388120E1
4.16010000000000080E10	-4.90135741361458970E1
4.17010000000000060E10	-4.90786209351725590E1
