"Zin_Re (L=4e-08,M=10) X","Zin_Re (L=4e-08,M=10) Y","Zin_Re (L=4e-08,M=20) X","Zin_Re (L=4e-08,M=20) Y","Zin_Re (L=8e-08,M=10) X","Zin_Re (L=8e-08,M=10) Y","Zin_Re (L=8e-08,M=20) X","Zin_Re (L=8e-08,M=20) Y"
0.8900000000000006,24.51354674729032,0.8900000000000006,16.83959438088877,0.8900000000000006,22.30190149709897,0.8900000000000006,15.55288622583913
0.9000000000000006,24.505873648244,0.9000000000000006,16.82750831367683,0.9000000000000006,22.3132899142133,0.9000000000000006,15.56108545131554
0.9100000000000006,24.49830359900732,0.9100000000000006,16.81559865387261,0.9100000000000006,22.3242753674416,0.9100000000000006,15.56867391617105
0.9200000000000006,24.49084164942455,0.9200000000000006,16.80385947702135,0.9200000000000006,22.33487161837173,0.9200000000000006,15.57568441495289
0.9300000000000006,24.48349261576493,0.9300000000000006,16.79228504062841,0.9300000000000006,22.34509148625493,0.9300000000000006,15.58214671647483
0.9400000000000006,24.47626118471344,0.9400000000000006,16.78086983571952,0.9400000000000006,22.35494685156572,0.9400000000000006,15.58808778656868
0.9500000000000006,24.46915203038201,0.9500000000000006,16.76960864723957,0.9500000000000006,22.36444867524225,0.9500000000000006,15.59353200275545
0.9600000000000006,24.46216994808068,0.9600000000000006,16.75849662659201,0.9600000000000006,22.3736070322159,0.9600000000000006,15.59850136179419
0.9700000000000006,24.45532000744667,0.9700000000000006,16.74752937847209,0.9700000000000006,22.38243115841292,0.9700000000000006,15.60301568110914
0.9800000000000006,24.4486077280379,0.9800000000000006,16.73670306428078,0.9800000000000006,22.39092951051926,0.9800000000000006,15.60709279520891
0.9900000000000007,24.44203927904126,0.9900000000000007,16.72601452355109,0.9900000000000007,22.39910983803297,0.9900000000000007,15.6107487484131
1,24.43562170432926,1,16.71546141465082,1,22.40697926676659,1,15.61399798428998
