"S11  (L=8e-08,M=20) X","S11  (L=8e-08,M=20) YRe","S11  (L=8e-08,M=20) YReImag","S11  (L=4e-08,M=10) X","S11  (L=4e-08,M=10) YRe","S11  (L=4e-08,M=10) YReImag","S11  (L=4e-08,M=20) X","S11  (L=4e-08,M=20) YRe","S11  (L=4e-08,M=20) YReImag","S11  (L=8e-08,M=10) X","S11  (L=8e-08,M=10) YRe","S11  (L=8e-08,M=10) YReImag"
0.4300000000000002,0.9828722499343778,-0.1615599916611111,0.4300000000000002,0.996613006465241,-0.06713520337936579,0.4300000000000002,0.9863311231922549,-0.1415619065786089,0.4300000000000002,0.9952172671118444,-0.0808394279723991
0.4400000000000002,0.9821831549671398,-0.164901397927866,0.4400000000000002,0.9965311785845896,-0.0679560546434457,0.4400000000000002,0.9858655938463685,-0.1439525517632306,0.4400000000000002,0.9950628612601953,-0.08224330069342667
0.4500000000000002,0.981472128418043,-0.1682548163402464,0.4500000000000002,0.9964490579362297,-0.06876800893657423,0.4500000000000002,0.9853954948659149,-0.1463248570393265,0.4500000000000002,0.994906728745246,-0.08363120539674707
0.4600000000000002,0.9807404090162812,-0.1716125454786643,0.4600000000000002,0.9963670167249681,-0.06956794739417885,0.4600000000000002,0.9849233337128991,-0.1486677443667503,0.4600000000000002,0.9947492899672825,-0.08500009986147125
0.4700000000000003,0.9799895786678259,-0.1749662531379296,0.4700000000000003,0.9962854385719579,-0.07035280114236538,0.4700000000000003,0.9844517288196386,-0.1509702921027565,0.4700000000000003,0.9945909737724119,-0.08634712856944081
0.4800000000000003,0.9792216139964425,-0.1783068738715253,0.4800000000000003,0.9962047094694189,-0.07111962224736341,0.4800000000000003,0.9839833407132224,-0.1532220140037381,0.4800000000000003,0.9944322230484295,-0.08766956818591139
0.4900000000000003,0.9784389158074236,-0.1816245996103817,0.4900000000000003,0.9961252082080705,-0.07186565353945144,0.4900000000000003,0.9835207993202935,-0.1554131259074466,0.4900000000000003,0.9942734986420869,-0.0889647896624978
0.5000000000000002,0.9776443099073,-0.1849089719160791,0.5000000000000002,0.9960472969312202,-0.07258839228285022,0.5000000000000002,0.9830666325274937,-0.1575347814483246,0.5000000000000002,0.9941152805977453,-0.09023024170825016
0.5100000000000002,0.9768410159184939,-0.1881490709057796,0.5100000000000002,0.9959713124298468,-0.07328564352271849,0.5100000000000002,0.9826232006978479,-0.1595792623384403,0.5100000000000002,0.9939580661063554,-0.09146345702293265
0.5200000000000002,0.9760325845798132,-0.1913337831946358,0.5200000000000002,0.9958975586917549,-0.07395556015684721,0.5200000000000002,0.9821926409928232,-0.1615401140179842,0.5200000000000002,0.9938023640410836,-0.09266207928775595
0.5300000000000002,0.9752228078642324,-0.1944521215239338,0.5300000000000002,0.9958263010741502,-0.07459666815580214,0.5300000000000002,0.9817768241862701,-0.1634122230176157,0.5300000000000002,0.9936486864518739,-0.09382390605432683
0.5400000000000003,0.9744156094208603,-0.1974935635674105,0.5400000000000003,0.9957577623054406,-0.0752078767018011,0.5400000000000003,0.9813773253660136,-0.1651918374573103,0.5400000000000003,0.9934975378083299,-0.09494694080403036
0.5500000000000003,0.9736149248567481,-0.2004483772302973,0.5500000000000003,0.9956921203608482,-0.07578847418125699,0.5500000000000003,0.9809954086760606,-0.1668765362135541,0.5500000000000003,0.9933494030529766,-0.09602944677866558
0.5600000000000003,0.9728245819684871,-0.2033079040700514,0.5600000000000003,0.9956295081155278,-0.07633811185025562,0.5600000000000003,0.980632025196231,-0.1684651551329499,0.5600000000000003,0.9932047356227498,-0.0970699956682906
0.5700000000000003,0.9720481902571443,-0.2060647799894314,0.5700000000000003,0.9955700145701019,-0.07685677755593857,0.5700000000000003,0.9802878222673304,-0.1699576802175756,0.5700000000000003,0.9930639465209641,-0.09806750563522032
0.5800000000000003,0.9712890472011899,-0.2087130814209165,0.5800000000000003,0.9955136638977777,-0.07734496649742674,0.5800000000000003,0.9799630071873962,-0.1713557836557854,0.5800000000000003,0.9929273953104329,-0.09902126508223055
0.5900000000000003,0.9705500662556135,-0.2112483942172508,0.5900000000000003,0.9954605153151355,-0.07780280320781609,0.5900000000000003,0.979658008373304,-0.1726599459722262,0.5900000000000003,0.9927953836050869,-0.09993094064397204
0.6000000000000003,0.9698337288628713,-0.2136678101120375,0.6000000000000003,0.9954105188546709,-0.07823129576343729,0.6000000000000003,0.9793725266964106,-0.1738735268463082,0.6000000000000003,0.9926681513201694,-0.1007965697592284
0.6100000000000003,0.9691420603040695,-0.2159698611691346,0.6100000000000003,0.9953636215280686,-0.07863140723506735,0.6100000000000003,0.9791062377119932,-0.1749997284306687,0.6100000000000003,0.992545875649391,-0.1016185396443792
0.6200000000000003,0.9684766272652638,-0.218154405864596,0.6200000000000003,0.9953197458944323,-0.07900424482435814,0.6200000000000003,0.9788586525502099,-0.1760422032993623,0.6200000000000003,0.9924286725053153,-0.1023975554346431
0.6300000000000003,0.9678385536736926,-0.2202224815284035,0.6300000000000003,0.9952787946743527,-0.07935102295357567,0.6300000000000003,0.9786291501315032,-0.1770049287241333,0.6300000000000003,0.9923166000030512,-0.1031346006954242
0.6400000000000003,0.9672285506770149,-0.2221761372553568,0.6400000000000003,0.9952406550996968,-0.07967303000367189,0.6400000000000003,0.9784170072561535,-0.1778920954302103,0.6400000000000003,0.9922096634876147,-0.1038308935112363
0.6500000000000004,0.9666469565077862,-0.2240182596226258,0.6500000000000004,0.9952052029106744,-0.07997159897658823,0.6500000000000004,0.9782214260035478,-0.1787080111940865,0.6500000000000004,0.9921078215919787,-0.1044878410513548
0.6600000000000004,0.9660937822568125,-0.2257524011596226,0.6600000000000004,0.9951723059317499,-0.08024808226260793,0.6600000000000004,0.9780415580196853,-0.1794570193951487,0.6600000000000004,0.9920109928490897,-0.1051069950133892
0.6700000000000004,0.9655685939926955,-0.2273831349909599,0.6700000000000004,0.9951418271931445,-0.08050383047135137,0.6700000000000004,0.9778765255189998,-0.1801434319420684,0.6700000000000004,0.9919190359304733,-0.1056901779564732
0.6800000000000004,0.9650712411217424,-0.2289137912238078,0.6800000000000004,0.9951136275925021,-0.08074017512419347,0.6800000000000004,0.977725439016405,-0.1807714755285539,0.6800000000000004,0.9918318648404347,-0.1062387554760626
0.6900000000000004,0.9646008565513702,-0.2303495885620435,0.6900000000000004,0.99508756811194,-0.08095841489895818,0.6900000000000004,0.9775874119420507,-0.1813452498917337,0.6900000000000004,0.991749288143686,-0.1067546651563297
0.7000000000000004,0.9641566132233113,-0.2316952913243327,0.7000000000000004,0.9950635116199609,-0.08115980505562602,0.7000000000000004,0.9774615723819091,-0.1818686966110614,0.7000000000000004,0.9916711286716424,-0.1072396607907088
0.7100000000000004,0.9637375782322399,-0.2329556931067054,0.7100000000000004,0.9950413242966196,-0.0813455496443778,0.7100000000000004,0.9773470722403368,-0.1823455769589076,0.7100000000000004,0.9915971991617845,-0.1076954762280345
0.7200000000000004,0.9633427455102981,-0.2341355431311277,0.7200000000000004,0.9950208767249549,-0.08151679609611033,0.7200000000000004,0.977243094143833,-0.1827794573656789,0.7200000000000004,0.9915273065092851,-0.1081238066527061
0.7300000000000004,0.9629710634902378,-0.2352394889178678,0.7300000000000004,0.9950020446929906,-0.08167463181254128,0.7300000000000004,0.9771488564068507,-0.18317370116355,0.7300000000000004,0.9914612553189224,-0.1085262942368686
0.7400000000000004,0.9626214580781078,-0.2362720330023901,0.7400000000000004,0.9949847097496314,-0.08182008240154851,0.7400000000000004,0.977063616367762,-0.1835314654010032,0.7400000000000004,0.9913988508126343,-0.1089045175591202
0.7500000000000004,0.9622928513093767,-0.2372375016784407,0.7500000000000004,0.9949687595551808,-0.08195411123901698,0.7500000000000004,0.9769866723792537,-0.1838557016661093,0.7500000000000004,0.9913399011495756,-0.1092599842596771
0.7600000000000005,0.961984176147537,-0.2381400238010457,0.7600000000000005,0.9949540880636141,-0.08207762007650542,0.7600000000000005,0.9769173647094611,-0.1841491600002313,0.7600000000000005,0.9912842192253308,-0.1095941264083569
0.7700000000000005,0.9616943879210365,-0.2389835178161731,0.7700000000000005,0.9949405955697364,-0.0821914504526647,0.7700000000000005,0.9768550755794223,-0.1844143951231904,0.7700000000000005,0.9912316240203485,-0.1099082980930491
0.7800000000000005,0.961422472892459,-0.2397716853716407,0.7800000000000005,0.9949281886500887,-0.08229638570308694,0.7800000000000005,0.9767992285312728,-0.1846537743210713,0.7800000000000005,0.9911819415663914,-0.1102037747827929
0.7900000000000005,0.9611674544279123,-0.2405080100730591,0.7900000000000005,0.994916780022397,-0.0823931533973096,0.7900000000000005,0.9767492872918875,-0.1848694864646709,0.7900000000000005,0.9911350055957378,-0.1104817540729704
0.8000000000000005,0.9609283971948344,-0.2411957601586162,0.8000000000000005,0.9949062883444426,-0.0824824280623586,0.8000000000000005,0.9767047542699496,-0.1850635517274295,0.8000000000000005,0.9910906579318548,-0.1107433574757531
0.8100000000000005,0.9607044097678972,-0.2418379940694871,0.8100000000000005,0.9948966379697186,-0.08256483407929835,0.8100000000000005,0.9766651687994807,-0.1852378316615178,0.8100000000000005,0.9910487486734996,-0.1109896329725798
0.8200000000000005,0.9604946459727755,-0.2424375680761921,0.8200000000000005,0.9948877586740259,-0.08264094866263537,0.8200000000000005,0.9766301052208695,-0.1853940393673453,0.8200000000000005,0.9910091362171651,-0.1112215580952951
0.8300000000000005,0.9602983052489376,-0.2429971452834325,0.8300000000000005,0.9948795853644112,-0.08271130485265937,0.8300000000000005,0.9765991708726103,-0.1855337495524108,0.8300000000000005,0.9909716871559686,-0.1114400433471731
0.8400000000000005,0.9601146322655729,-0.2435192054796256,0.8400000000000005,0.9948720577794172,-0.08277639446765234,0.8400000000000005,0.9765720040499133,-0.185658408331354,0.8400000000000005,0.9909362760867355,-0.111645935814159
0.8500000000000005,0.9599429159842015,-0.2440060554150937,0.8500000000000005,0.9948651201875063,-0.08283667097738472,0.8500000000000005,0.9765482719732068,-0.1857693426613353,0.8500000000000005,0.9909027853512902,-0.1118400228500387
0.8600000000000005,0.9597824883243322,-0.2444598391940102,0.8600000000000005,0.9948587210888107,-0.08289255227105226,0.8600000000000005,0.9765276687981714,-0.1858677693423907,0.8600000000000005,0.990871104732918,-0.1120230357475288
0.8700000000000006,0.9596327225567376,-0.2448825485478141,0.8700000000000006,0.9948528129237943,-0.08294442330291546,0.8700000000000006,0.9765099136891762,-0.1859548035425442,0.8700000000000006,0.9908411311245351,-0.1121956533306753
0.8800000000000006,0.9594930315215009,-0.2452760328253925,0.8800000000000006,0.9948473517911733,-0.08299263860708062,0.8800000000000006,0.9764947489700262,-0.1860314668310088,0.8800000000000006,0.9908127681813557,-0.1123585054233975
0.8900000000000006,0.9593628657457061,-0.245642008588343,0.8900000000000006,0.9948422971763604,-0.08303752467970982,0.8900000000000006,0.9764819383595846,-0.1860986947216337,0.8900000000000006,0.9907859259676677,-0.1125121761646527
0.9000000000000006,0.959241711515461,-0.2459820687450718,0.9000000000000006,0.9948376116907693,-0.08307938223272529,0.9000000000000006,0.9764712652940544,-0.186157343745212,0.9000000000000006,0.9907605206046013,-0.1126572071534982
0.9100000000000006,0.9591290889419495,-0.2462976911899871,0.9100000000000006,0.9948332608215935,-0.08311848832766833,0.9100000000000006,0.9764625313335216,-0.1862081980810637,0.9100000000000006,0.9907364739236064,-0.1127941004175665
0.9200000000000006,0.9590245500472667,-0.2465902469429294,0.9200000000000006,0.9948292126909699,-0.08315509840234678,0.9200000000000006,0.9764555546464626,-0.1862519757890474,0.9200000000000006,0.9907137131284303,-0.1129233212065119
0.9300000000000006,0.9589276768863608,-0.2468610078022473,0.9300000000000006,0.9948254378230144,-0.08318944820581832,0.9300000000000006,0.976450168563463,-0.1862893346895745,0.9300000000000006,0.9906921704669962,-0.1130453006182592
0.9400000000000006,0.9588380797118257,-0.2471111535430289,0.9400000000000006,0.9948219089167287,-0.08322175565953385,0.9400000000000006,0.9764462201884072,-0.1863208779470286,0.9400000000000006,0.9906717829132854,-0.1131604380707065
0.9500000000000006,0.9587553951832186,-0.2473417786998498,0.9500000000000006,0.9948186006226112,-0.08325222266379935,0.9500000000000006,0.9764435690555133,-0.1863471594106286,0.9500000000000006,0.99065249185852,-0.1132691036346456
0.9600000000000006,0.9586792846168632,-0.247553898982621,0.9600000000000006,0.9948154893206096,-0.0832810368690686,0.9600000000000006,0.9764420858182905,-0.1863686887721753,0.9600000000000006,0.9906342428102783,-0.1133716402457345
0.9700000000000006,0.958609432270187,-0.2477484573746195,0.9700000000000006,0.9948125528971496,-0.08330837343102011,0.9700000000000006,0.9764416509580631,-0.1863859365940312,0.9700000000000006,0.9906169850978273,-0.1134683658138972
0.9800000000000006,0.9585455436533608,-0.2479263299609654,0.9800000000000006,0.9948097705191108,-0.08333439676655584,0.9800000000000006,0.9764421535001295,-0.1863993392574969,0.9800000000000006,0.9906006715818878,-0.1135595752478905
0.9900000000000007,0.958487343860688,-0.2480883315325927,0.9900000000000007,0.9948071224030393,-0.08335926232500404,0.9900000000000007,0.9764434897279741,-0.1864093038726902,0.9900000000000007,0.990585258367215,-0.1136455424107755
1,0.9584345759177615,-0.2482352209989538,1,0.9948045895783706,-0.0833831183848867,1,0.976445561888011,-0.186416213182312,1,0.9905707045168137,-0.1137265220189643
