s21 (Lg=8.3e-09) X,s21 (Lg=8.3e-09) Y
263026799189.5343,-183.7368416072136
269153480392.6876,-184.9540708091625
275422870333.8126,-186.1428445318974
281838293126.4413,-187.3089519147615
288403150312.6564,-188.4569327994025
295120922666.6342,-189.5897126367747
301995172040.1971,-190.7083285974323
309029543251.3545,-191.8117222194349
316227766016.8333,-192.8965944092776
323593656929.6235,-193.9573515410085
331131121482.5862,-194.9862101678184
338844156139.1975,-195.9735598607314
346736850452.5265,-196.9086863218691
354813389233.5702,-197.7809008591925
363078054770.0959,-198.5809907892571
371535229097.167,-199.3027272420805
380189396320.5555,-199.9440342725
389045144994.2747,-200.5074488963114
398107170553.4912,-200.9997202737972
407380277804.1066,-201.4307029488453
416869383470.3291,-201.8119173518173
426579518801.5862,-202.1551759598628
436515832240.1593,-202.4715401823247
446683592150.9563,-202.7706937387117
457088189614.868,-203.0606847255845
467735141287.191,-203.3479291010872
478630092322.631,-203.6373657531126
489778819368.4387,-203.9326781842876
501187233627.2646,-204.2365280934403
512861383991.3569,-204.5507710962677
524807460249.7645,-204.8766417742435
537031796370.2444,-205.2149052353134
549540873857.616,-205.5659774723786
562341325190.3403,-205.9300189100938
575439937337.1479,-206.3070059926383
588843655355.5797,-206.6967853251293
602559586074.3483,-207.0991142338894
616595001861.4724,-207.5136908985043
630957344480.1832,-207.9401765534507
645654229034.6453,-208.3782117003507
660693448007.5854,-208.827427820554
676082975391.9709,-209.2874557194363
691830970918.9254,-209.7579313606468
707945784384.1266,-210.2384998363433
724435960074.9784,-210.7288179566304
741310241300.9055,-211.2285558268779
758577575029.1715,-211.737397682094
776247116628.6792,-212.2550421866466
794328234724.2687,-212.7812023502826
812830516164.0861,-213.3156051767099
831763771102.6575,-213.8579911297319
851138038202.3625,-214.4081134800844
870963589956.0664,-214.9657375813084
891250938133.731,-215.5306401087923
912010839355.8948,-216.102608287528
933254300796.9757,-216.6814391272839
954992586021.4203,-217.2669386783141
977237220955.7947,-217.8589213167271
1000000000000,-218.4572090658408
